Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
930.1/23,مقدمة ابن خلدون,"أبن خلدون, عبد الرحمن بن محمد",بيروت,دار القلم,1983.0,457.0,علم التاريخ,INV_BUA_35
930.85_927/11,وفيات الأعيان وأنباء أبناء الزمان. الجزء الثالث,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,1983.0,507.0,تاريخ حضارة العرب,INV_BUA_36
930.85_927/14,وفيات الاعيان وأنباء أبناء الزمان. الجزء السادس,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,1983.0,432.0,تاريخ حضارة العرب,INV_BUA_37
961.1/05,الدولة الصنهاجية,"أبن عامر, أحمد",تونس,الدار التونسية للنشر,1972.0,114.0,تاريخ تونس,INV_BUA_38
297.4/06,أعلام الموقعين عن رب العالمين. المجلد التاني,"إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر",بيروت,دار الجيل,1973.0,427.0,الفقه والشريعة,INV_BUA_39
297.8/13,كتاب المنية والأمل في شرح الملل والنحل,"إبن منصور الحسني, أحمد بن يحيى",لبنان,دار الفكر,1979.0,231.0,الفرق والطوائف الإسلامية,INV_BUA_40
159.9/12,علم النفس الصناعي : بحوث عربية وعالمية,"أبو االنيل, محمود السيد",بيروت,دار النهضة العربية,1985.0,686.0,علم النفس الصناعي,INV_BUA_41
297.43/35,الحياة الإجتماعية من خلال بعض كتب الحسبة,"أبو الأجفان, محمد",بغداد,وزارة الأوقاف,1983.0,52.0,التشريع الإسلامي,INV_BUA_42
621.316.1/05,إقتصاديات نظم القدرة الكهربائية,"أبو الخير, محمد هاشم",دمشق,جامعة دمشق,1991.0,316.0,الشبكات الكهربائية,INV_BUA_43
331/09,الوسيط في شرح قانون العمل (المصري واللبناني): النظرية العامة لقانون العمل,"أبو السعود, رمضان",بيروت,الدار الجامعية,1983.0,523.0,القانون الاجتماعي,INV_BUA_44
961.1/08,عنوان الدراية فيمن عرف من العلماء في المائة السابعة ببجاية,"أبو العباس الغبريني, أحمد بن أحمد بن عبد الله",بيروت,دار الآفاق الجديدة,1979.0,460.0,تاريخ تونس,INV_BUA_45
51/33,علم الحساب,"أبو العباس, أحمد",بيروت,دار المعارف,1986.0,313.0,الرياضيات,INV_BUA_46
35/12,حركة العلاقات الانسانية في الادارة,"أبو العرف, فتوح محمود",غير محدد,مطابع سجل العرب,1977.0,38.0,القانون الاداري,INV_BUA_47
82.091/98,الرؤية والرمانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعت عبد العزيز",الاسكندرية,الهيئة المصرية العامة للكتاب,1981.0,463.0,دراسات أدبية,INV_BUA_48
82.091/98 مكرر,الرؤية الرومانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعة عبد العزيز",الأسكندرية,الهيئة المصرية العامة للكتاب,1981.0,463.0,دراسة أدبية,INV_BUA_49
551.4/01 مكرر,أصول الجيومورفولوجيا: دراسة الاشكال التضاريسية لسطح الارض,"أبو العينين, حسن سيد أحمد",بيروت,دار النهضة العربية,1979.0,744.0,الجيومور فولوجيا,INV_BUA_50
91/11,كوكب الأرض ظواهره التضارسية الكبرى,"أبو العينين, سيد احمد حسن",الأسكندرية,مؤسسة التقافة الجامعية,1976.0,596.0,الجغرافية,INV_BUA_51
801.3/07,المعاجم اللغوية : في ضوء دراسات علم اللغة الحديث,"أبو الفرج, محمد أحمد",بيروت,دار النهضة العربية,1966.0,150.0,معاجم لغوية,INV_BUA_52
31/26,أساليب الإحصاء التطبيقي,"أبو القاسم, علي",قبرص,دار الشباب,1987.0,336.0,الإحصاء,INV_BUA_53
801.56/31,تقويم الفكر النحوي,"أبو المكارم, علي",بيروت,دار الثقافة,1975.0,291.0,النحو العربي,INV_BUA_54
