Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
03/61 م2,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,586.0,المعجم اللغوي,INV_BUA_2798
03/62 م3,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار ومكتبة الحياة,1983.0,632.0,المعجم اللغوي,INV_BUA_2799
03/63 م4,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,448.0,المعجم اللغوي,INV_BUA_2800
03/64,تاج العروس من جواهير القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1306.0,566.0,المعجم اللغوي,INV_BUA_2801
03/65 م6,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,430.0,المعجم اللغوي,INV_BUA_2802
03/66 م7,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,428.0,المعجم اللغوي,INV_BUA_2803
03/67 م8,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,414.0,المعجم اللغوي,INV_BUA_2804
03/68 م9,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,424.0,المعجم اللغوي,INV_BUA_2805
03/69 م10,تاج العروس من جواهر القاموس,"الزبيدي, محمد مرتضى",بيروت,دار مكتبة الحياة,1983.0,470.0,المعجم اللغوي,INV_BUA_2806
82.091/48,دار العودة,الزبيري شاعرا ومناضلا,بيروت,غير محدد,1977.0,270.0,دراسة أدبية,INV_BUA_2807
801.551/17 ق1,إعراب القرآن,"الزجاج, أبو القاسم",بيروت,دار الكتاب اللبناني,1986.0,398.0,الإعراب: القرآن,INV_BUA_2808
801.551/17 ق2,إعراب القرآن,"الزجاج, أبو القاسم",بيروت,دار الكتاب اللبناني,1986.0,776.0,الإعراب: القرآن,INV_BUA_2809
801.551/17 ق3,إعراب القرآن,"الزجاج, أبو القاسم",بيروت,دار الكتاب اللبناني,1986.0,1105.0,الإعراب: القرآن,INV_BUA_2810
82-1_إس/10,الآمالي في المشكلات القرآنية والحكم والأحاديث النبوية,"الزجاج, القاسم عبد الرحمن بن القاسم",بيروت,دار الكتاب العربي,1983.0,140.0,الأدب الإسلامي,INV_BUA_2811
340.5/05,نظرية الضرورة الشرعية: مقارنة مع القانون الوضعي,"الزحيلي, وهبة",بيروت,مؤسسة الرسالة,1982.0,340.0,القانون المقارن,INV_BUA_2812
297.41/45,الفقه الإسلامي في ثوبه الجديد : المدخل الفقهي العام. الجزء الأول,"الزرقاء, مصطفى أحمد",دمشق,مطابع الأديب,1968.0,548.0,الفقه الإسلامي,INV_BUA_2813
297.41/46,الفقه الإسلامي في ثوبه الجديد : المدخل الفقهي العام. الجزء الثاني,"الزرقاء, مصطفى أحمد",دمشق,مطبعة طربين,1968.0,1167.0,الفقه الإسلامي,INV_BUA_2814
297.41/47,الفقه الإسلامي في ثوبه الجديد : المدخل الفقهي العام. الجزء الثالث,"الزرقاء, مصطفى أحمد",دمشق,مطبعة طربين,1968.0,296.0,الفقه الإسلامي,INV_BUA_2815
297.217/09,شرح الزرقاني على موطأ الإمام مالك. المجلد الأول,"الزرقاني, محمد",بيروت,دار الفكر,1983.0,400.0,موطأ الامام مالك,INV_BUA_2816
297.217/10,شرح الزرقاني على موطأ الإمام مالك. المجلد الثاني,"الزرقاني, محمد",بيروت,دار الفكر,1983.0,406.0,موطأ الإمام مالك,INV_BUA_2817
297.217/11,شرح الزرقاني على موطأ الإمام مالك. المجلد الثالث,"الزرقاني, محمد",بيروت,دار الفكر,1983.0,400.0,موطأ الإمام مالك,INV_BUA_2818
297.217/12,شرح الزرقاني على موطأ الإمام مالك. المجلد الرابع,"الزرقاني, محمد",بيروت,دار الفكر,1983.0,440.0,موطأ الإمام مالك,INV_BUA_2819
297.6/38 م1,شرح العلامة الزرقاني على المواهب اللدنية للقسطلان. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,464.0,السيرة النبوية والسنن,INV_BUA_2820
297.6/39 م2,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,352.0,السيرة النبوية والسنن,INV_BUA_2821
297.6/40 م3,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,395.0,السيرة النبوية والسنن,INV_BUA_2822
297.6/41 م4,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,370.0,السيرة النبوية والسنن,INV_BUA_2823
297.6/42 م5,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,419.0,السيرة النبوية و السنن,INV_BUA_2824
297.6/43 م6,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,366.0,السيرة النبوية و السنن,INV_BUA_2825
297.6/44 م7,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,426.0,السيرة النبوية و السنن,INV_BUA_2826
297.6/45 م8,شرح العلامة الزرقاني على المواهب اللدنية للقسطلاني. وبهامشه زاد المعاد لابن القيم,"الزرقاني, محمد بن عبد الباقي",بيروت,دار المعرفة,1973.0,430.0,السيرة النبوية والسنن,INV_BUA_2827
297.122/57,مناهل العرفان في علوم القرآن. الجزء الأول,"الزرقاني, محمد عبد العظيم",الفاهرة,مطبعة عيسى البابي الحلبي و شركاؤه,1983.0,490.0,القرآن,INV_BUA_2828
297.122/58,مناهل العرفان في علوم القرآن. الجزء الثاني,"الزرقاني, محمد عبد العظيم",القاهرة,مطبعة عيسى البابي الحلبي و شركاؤه,1983.0,452.0,القرآن,INV_BUA_2829
03:92/17 ج2,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,342.0,المعجم البيوغرافي,INV_BUA_2830
03:92/18 ج3,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,375.0,المعجم البيوغرافي,INV_BUA_2831
03:92/19 ج4,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,380.0,المعجم البيوغرافي,INV_BUA_2832
03:92/20 ج5,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,375.0,المعجم البيوغرافي,INV_BUA_2833
03:92/21 ج6,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,367.0,المعجم البيوغرافي,INV_BUA_2834
03:92/22 ج7,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,360.0,المعجم البيوغرافي,INV_BUA_2835
03:92/23 ج8,الإعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,359.0,المعجم البيوغرافي,INV_BUA_2836
03:92/24 ج9,الأعلام: قاموس تراجم لأ شهر الرجال والنساء من العرب المستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,350.0,المعجم البيوغرافي,INV_BUA_2837
03:92/25 ج10,الأعلام: قاموس تراجم لأ شهر الرجال والنساء من العرب المستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,359.0,المعجم البيوغرافي,INV_BUA_2838
03:92/26 ق1 ج11,الأعلام: قاموس تراجم لأ شهر الرجال والنساء من العرب المستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,310.0,المعجم البيوغرافي,INV_BUA_2839
03:92/27 ق2 ج12,الأعلام: قاموس تراجم لأ شهر الرجال والنساء من العرب المستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,727.0,المعجم البيوغرافي,INV_BUA_2840
03:92/28 ج13,الأعلام: قاموس تراجم لأ شهر الرجال والنساء من العرب المستعربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,287.0,المعجم البيوغرافي,INV_BUA_2841
3:92/16 ج1,الأعلام: قاموس تراجم لأشهر الرجال والنساء من العرب والمستغربين والمستشرقين,"الزركلي, خير الدين",غير محدد,غير محدد,1983.0,383.0,المعجم البيوغرافي,INV_BUA_2842
35/30,التمويل المحلي للوحدات الادارية. دراسة مقارنة : المملكة المتحدة - فرنسا - يوغسلافيا - مصر - الأردن,"الزعبي, خالد سمارة",عمان,المنظمة العربية للعلوم الادارية,1985.0,56.0,القانون الاداري,INV_BUA_2843
297/37,هل نحن مسيرون أم مخيرون أو مستقبلك بيدك,"الزعبي, محمد علي",بيروت,مطبعة الأنصاف,1968.0,87.0,الإسلام : القضاء والقدر,INV_BUA_2844
964/150,ألف سنة من حياة اليهود بالمغرب,"الزعفراني, حاييم",باريس,الدار الجديدة,1983.0,303.0,تاريخ المغرب,INV_BUA_2845
82-1_عب/34,قراءات في الأدب العباسي الحركة الشعرية,"الزعيم, أحلام",دمشق,مطبعة الإتحاد,1992.0,547.0,الأدب العباسي,INV_BUA_2846
82-1_عب/38,قراءات في الأدب العباسي: الحركة النثرية,"الزعيم, أحلام",دمشق,مطبعة الاتحاد,1991.0,527.0,الأدب العباسي,INV_BUA_2847
378/10,استراتيجية التدريس والتقويم الملائمة للتعليم العالي العربي لمواجهة التحديات مطلع القرن الحادي والعشرين,"الزعيمي, محمد",الرباط,كلية علوم التربية,1983.0,39.0,التعليم العالي,INV_BUA_2848
297.425.7/03,كلية الآداب والعلوم الانسانية,الزكاة وانعكاساتها في المجالين الاقتصادي والاجتماعي,الرباط,غير محدد,1994.0,231.0,الزكاة,INV_BUA_2849
533/01,الغازات النادرة,"الزكوم, مهدي ناجي",البصرة,جامعة البصرة,1964.0,32.0,الغازات,INV_BUA_2850
801.5/01,أساس البلاغة,"الزمخشري, جار الله أبو القاسم محمد بن عمر",بيروت,دار المعرفة,1979.0,514.0,البلاغة العربية,INV_BUA_2851
297.2/36,الفائق في غريب الحديث. المجلد الأول,"الزمخشري, جار الله محمود بن عمر",بيروت,دار الفكر,1979.0,452.0,الحديث,INV_BUA_2852
297.2/37,الفائق في غريب الحديث. المجلد الثاني,"الزمخشري, جار الله محمود بن عمر",بيروت,دار الفكر,1979.0,448.0,الحديث,INV_BUA_2853
297.2/38,الفائق في غريب الحديث. المجلد الثالث,"الزمخشري, جار الله محمود بن عمر",بيروت,دار الفكر,1979.0,448.0,الحديث,INV_BUA_2854
297.2/39,الفائق في غريب الحديث. المجلد الرابع,"الزمخشري, جار الله محمود بن عمر",بيروت,دار الفكر,1979.0,359.0,الحديث,INV_BUA_2855
297.914/15,أسس التربية الإسلامية في السنة النبوية,"الزنتاني, عبد الحميد الصيد",تونس,الدار العربية للكتاب,1984.0,911.0,الإسلام وعلوم التربية,INV_BUA_2856
93:297/112,نظام الوزارة في الدولة العباسية,"الزهراني, محمد مسفر",بيروت,مؤسسة الرسالة,1980.0,245.0,تاريخ الاسلام,INV_BUA_2857
091:61/03 ج2,التصريف لمن عجز عن التأليف,"الزهراوى, أبو القاسم خلف بن عباس",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,579.0,مخطوطات: الطب,INV_BUA_2858
091:61/03 ج1,التصريف لمن عجز عن التأليف,"الزهراوي, أبو القاسم خلف بن عباس",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,584.0,مخطوطات: الطب,INV_BUA_2859
801/92,الأمر والنهي في اللغة العربية.,"الزهري, نعيمة.",الدار البيضاء.,كلية الآداب والعلوم الانسانية.,1996.0,317.0,اللسانيات.,INV_BUA_2860
008/29,الفكر الزنجي: نشأته وتوجهاته وتوجهاته,"الزهيري, قاسم",الرباط,معهد الدراسات الإفريقية,1998.0,104.0,الحضارة والثقافة,INV_BUA_2861
008/29 مكرر,الفكر الزنجي : نشأته وتوجهاته,"الزهيري, قاسم",الرباط,معهد الدرسات الإفريقية,1998.0,104.0,الحضارة والثقافة الإفريقية,INV_BUA_2862
82-1_جا/12,شرح المعلقات السبع,"الزوزني, أبو عبد الله الحسين بن أحمد",بيروت,دار الجيل,1979.0,236.0,الأدب الجاهلي,INV_BUA_2863
91_927/04,في جغرافية العالم العربي,"الزوكه, محمد خميس",الإسكندرية,دار المعرفة الجامعية,1983.0,310.0,الجغرافية,INV_BUA_2864
911.3:33/01,المدخل إلى الجغرافيا الإقتصادية,"الزوكه, محمد خميس",الإسكندرية,دار الجامعات المصرية,1978.0,649.0,الجغرافية الإقتصادية,INV_BUA_2865
396/29,صورة المرأة في القصص والروايات العربية,"الزيات, لطيفة",بغداد,اللجنة الاقتصادية لغرب اسيا,1985.0,80.0,المرأة,INV_BUA_2866
629.119/01,محطات الخدمة,"الزيبق, أحمد فايز",دمشق,جامعة دمشق,1989.0,294.0,محطات الصيانة واصلاح السيارات,INV_BUA_2867
82.09/42,مفهوم الأدبية في التراث النقدي إلى نهاية القرن الرابع,"الزيدي, توفيق",الدار البيضاء,منشورات عيون المقالات,1987.0,191.0,النقد الأدبي,INV_BUA_2868
297.2/11 ج1,"نصب الراية لأحاديث الهداية مع حاشيته ""بغية الألمعي في تخريج الزيعلي""","الزيلعي, جمال الدين أبو محمد عبد الله بن يوسف",بيروت,المكتب الإسلامي,1983.0,451.0,الحديث,INV_BUA_2869
297.2/12 ج2,"نصب الراية لأحاديث الهداية مع حاشيته ""بغية الألمعي في تخريج الزيعلي""","الزيلعي, جمال الدين أبو محمد عبد الله بن يوسف",بيروت,المكتب الإسلامي,1983.0,508.0,الحديث,INV_BUA_2870
297.2/13 ج3,"نصب الراية لأحاديث الهداية مع حاشيته ""بغية الألمعي في تخريج الزيعلي""","الزيلعي, جمال الدين أبو محمد عبد الله بن يوسف",بيروت,المكتب الإسلامي,1983.0,502.0,الحديث,INV_BUA_2871
297.2/14 ج4,"نصب الراية لأحاديث الهداية مع حاشيته ""بغية الألمعي في تخريج الزيعلي""","الزيلعي, جمال الدين أبو محمد عبد الله بن يوسف",بيروت,المكتب الإسلامي,1973.0,514.0,الحديث,INV_BUA_2872
297.438/02,أهل الكتاب في المجتمع الإسلامي,"الزين, حسن",بيروت,دار النهار,1982.0,202.0,التشريع الإسلامي : الأحوال الشخصية لغير المسلمين,INV_BUA_2873
297.81/03,الصوفية في نظر الإسلام: دراسة تحليلية,"الزين, سميح عاطف",بيروت,دار الكتاب المصري,1985.0,593.0,التصوف,INV_BUA_2874
297.9/14,الإسلام وإيديولوجية الإنسان,"الزين, سميح عاطف",بيروت,دار الكتاب اللبناني,1971.0,235.0,الإسلام والعلوم والفكر,INV_BUA_2875
801.5/49,قضايا لغويةفي ضوء الألسنية,"الزين, عبد الفتاح",بيروت,الشركة العالمية للكتاب,1987.0,163.0,البلاغة العربية,INV_BUA_2876
92/74,دراسة في حياة ومؤلفات الأستاد عبد الهادي التازي,"الزين, عبد الفتاح",الرباط,مطبعة إليت,1992.0,146.0,بيوغرافيا,INV_BUA_2877
92/74 مكرر,دراسة في حياة وأعمال الأستاذ عبد الهادي التازي,"الزين, عبد الفتاح",الرباط,المعهد الجامعي للبحث العلمي,1991.0,143.0,بيوغرافيا,INV_BUA_2878
930.26/06,دراسات في الآثار الكلاسيكية. الجزء التاني الآتار الرومانية,"الزين, محمد",دمشق,جامعة دمشق,1982.0,191.0,علم الآثار,INV_BUA_2879
297.821/01,الشيعة في التاريخ,"الزين, محمد حسين",بيروت,دار الآثار,1979.0,270.0,الشيعة,INV_BUA_2880
92/26,منوعات ابن الخطيب,"السائح, الحسن",الرباط,وزارة الأوقاف والشؤون الإسلامية,1978.0,166.0,بيوغرافيا,INV_BUA_2881
964/99,على هامش تاريخ القرويين,"السائح, الحسن",البيضاء,مطبعة النجاح,1979.0,111.0,تاريخ المغرب,INV_BUA_2882
82-2_64/01,من تاريخ القصة المسرحية في الأدب المغربي,"السائح, حسن",الرباط,منشورات كلية الآداب والعلوم الإنسانية,1983.0,53.0,المسرح المغربي,INV_BUA_2883
930.85_64/03,الحضارة المغربية عبر التاريخ,"السائح, حسن",البيضاء,دار الثقافة,1975.0,225.0,تاريخ الحضارة المغربية,INV_BUA_2884
03/106,الكنز: قاموس إنكليزي - عربي,"السابق, جروان",باريس,دار السابق للتأليف والنشر,1985.0,947.0,المعجم: إنجليزي - عربي,INV_BUA_2885
03/107,الكنز: قاموس فرنسي عربي,"السابق, جروان",بيروت,دار السابق,1985.0,1254.0,المعجم: فرنسي عربي,INV_BUA_2886
323/08,وصيتي,"السادات, أنور",القاهرة,المكتب المصري الحديث,1982.0,226.0,السياسة الداخلية,INV_BUA_2887
920.91/01,البحث عن الذات,"السادات, أنور",القاهرة,المكتب المصري الحديث,1983.0,443.0,السيرة الذاتية,INV_BUA_2888
301.19/02,علم الإجتماع الخلدوني: قواعد المنهج,"الساعاتي, حسن",القاهرة,دار المعارف,1978.0,229.0,علم الإجتماع,INV_BUA_2889
30/09,الثقافة والشخصية: بحث في علم الاجتماع الثقافي,"الساعاتي, سامية حسن",بيروت,دار النهضة العربية,1983.0,279.0,علم الاجتماع الثقافي,INV_BUA_2890
30/22,السحر والمجتمع: دراسة نظرية وبحث ميداني,"الساعاتي, سامية حسن",بيروت,دار النهضة العربية,1983.0,295.0,علم الاجتماع: ظاهرة السحر,INV_BUA_2891
301.56/01,جرائم النساء,"الساعاتي, سامية حسن",الرياض,مطابع الشرق الأوسط,1986.0,172.0,علم الإجتماع : الإجرام,INV_BUA_2892
33/76,تنويع مصادر الدخل في الإقتصاد العربية,"الساكت, بسام",بغداد,اتحاد مجاس البحث العلمي,1983.0,181.0,الإقتصاد السياسي,INV_BUA_2893
1_927/31,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,الفلسفة: الفكر العربي الحديث,INV_BUA_2894
1_927/32,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,الفلسفة: الفكر العربي الحديث,INV_BUA_2895
1_927/33,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,الفلسفة: الفكر العربي الحديث,INV_BUA_2896
1_927/34,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,فلسفة: الفكر العربي الحديث,INV_BUA_2897
1_927/35,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,فلسفة: الفكر العربي الحديث,INV_BUA_2898
1_927/36,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,فلسفة: الفكر العربي الحديث,INV_BUA_2899
1_927/37,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,فلسفة: الفكر العربي الحديث,INV_BUA_2900
1_927/38,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,فلسفة: الفكر العربي الحديث,INV_BUA_2901
1_927/39,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,الفلسفة: الفكر العربي الحديث,INV_BUA_2902
1_927/40,الفكر العربي في مواجهة الفكر الغربي,"السامر, فيصل",بغداد,جامعة بغداد,1972.0,39.0,الفلسفة: الفكر العربي الحديث,INV_BUA_2903
801/01,فقه اللغة المقارن,"السامرائي, إبراهيم",بيروت,دار العلم للملايين,1978.0,316.0,فقه اللغة,INV_BUA_2904
32/52 م1,المشرق العربي: القسم الاول,"السامرائي, شفيق",بغداد,دار الكتب,1980.0,228.0,علوم سياسية,INV_BUA_2905
32/51 م2,المشرق العربي,"السامرائى, شفيق عبد الرزاق",بغداد,مطابع مؤسسة دار الكتب للطباعة والنشر,1980.0,227.0,علوم سياسية,INV_BUA_2906
32/52,المشرق العربي - القسم الأول,"السامرائى, شفيق عبد الرزاق",بغداد,وزارة التعليم العالي والبحث العلمي,1980.0,220.0,علوم سياسية,INV_BUA_2907
347.44/03,نظرية الغلط والتدليس في قانون الالتزامات والعقود المغربي,"السباعي, أحمد شكري",الرباط,مطبعة المغرب,1972.0,219.0,القانون المدني,INV_BUA_2908
347.44/04 مكرر,نظرية بطلان العقود وأبطالها في قانون الالتزامات والعقود,"السباعي, أحمد شكري",الرباط,المطبعة المثالية,1971.0,522.0,القانون المدني,INV_BUA_2909
347.44/06,نظرية بطلان العقود في القانون المدني المغربي والفقه الإسلامي والقانون المقارن,"السباعي, أحمد شكري",الرباط,منشورات عكاظ,1987.0,437.0,القانون المدني,INV_BUA_2910
347.72_64/01,الوسيط في القانون التجاري المغربي والمقارن .الجزء الثاني : في الشركات,"السباعي, أحمد شكري",الرباط,مكتبة المعارف,1980.0,702.0,القانون التجاري,INV_BUA_2911
347.72_64/02,الوسيط في القانون التجاري المغربي والمقارن. الجزء الثاني: في الشركات,"السباعي, أحمد شكري",الرباط,مكتبة المعارف,1980.0,702.0,القانون التجاري,INV_BUA_2912
347.736_64/01,نظام الافلاس في القانون التجارى المغربي,"السباعي, أحمد شكري",الرباط,دار الكتب,1976.0,487.0,القانون التجاري,INV_BUA_2913
347/18,نظرية بطلان العقود وابطالها في قانون الالتزامات,"السباعي, أحمد شكري",الرباط,المطبعة المثالية,1971.0,522.0,القانون المدني,INV_BUA_2914
396/15,مشكلة المرأة: العامل التاريخي,"السباعي, بدر الدين",بيروت,دار الجماهير الشعبية,1985.0,383.0,المرأة,INV_BUA_2915
396/15 مكرر,مشكلة المرأة: العامل التاريخي,"السباعي, بدر الدين",بيروت,دار الجماهير الشعبية,1985.0,383.0,المرأة,INV_BUA_2916
297.055.2/19,المرأة بين الفقه والقانون,"السباعي, مصطفى",بيروت,المكتب الإسلامي,1984.0,331.0,المرأة في الإسلام,INV_BUA_2917
82.091/105,اتجاهات أدبية وحضارية في عصر بني مرين او كتاب الامتاع والانتفاع بمسألة سماع السماع.,"السبتي, ابن الدراج.",القنيطرة.,مطبعة الأندلس.,1983.0,200.0,دراسة أدبية.,INV_BUA_2918
964/147,اختصار الأخبار عما كان بثغر سبتة من سني الآثار,"السبتي, محمد بن القاسم الأنصاري",الرباط,غير محدد,1983.0,129.0,تاريخ المغرب,INV_BUA_2919
591.15/01,الوراثة الحيوانية,"السبع, محمد مروان",حلب,غير محدد,1990.0,540.0,الوراثة الحيوانية,INV_BUA_2920
591.15/02,الأسس العامة للوراثة الحيوانية: الجلسات العملية,"السبع, محمد مروان",سوريا,جامعة حلب,1990.0,138.0,الوراثة الحيوانية,INV_BUA_2921
636.082.1/02,التحسين الوراثي,"السبع, محمد مروان",حلب,غير محدد,1982.0,361.0,الوراثة,INV_BUA_2922
297.4813/03 ج1,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1964.0,360.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2923
297.4813/03 ج10,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1976.0,780.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2924
297.4813/03 ج2,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1964.0,487.0,المذهب الشافعي : ترجمة إعلام الشافعية,INV_BUA_2925
297.4813/03 ج3,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1964.0,616.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2926
297.4813/03 ج4,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1964.0,600.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2927
297.4813/03 ج5,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1967.0,531.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2928
297.4813/03 ج6,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1968.0,560.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2929
297.4813/03 ج7,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1970.0,592.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2930
297.4813/03 ج8,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1971.0,616.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2931
297.4813/03 ج9,طبقات الشافعية الكبرى,"السبكي, أبو نصر عبد الوهاب بن علي",القاهرة,مطبعة عيسى البابي الحلبي,1974.0,596.0,المذهب الشافعي : ترجمة أعلام الشافعية,INV_BUA_2932
621.3/02 ج1,أسس الهندسة الكهربائية. الجزء الأول,"الست, شامان",سوريا,جامعة حلب,1992.0,576.0,الهندسة الكهربائية,INV_BUA_2933
297.24/31,سؤالات أبي عبيد الأجري أبا داود السجستاني في الجرح والتعديل,"السجستاني, أبو داود سليمان بن الأشعت",المدينة المنورة,المجلس العلمي,1983.0,410.0,الحديث,INV_BUA_2934
297.821.5/01,الينابيع,"السجستاني, أبو يعقوب",بيروت,المكتب التجاري,1965.0,174.0,الإسماعيلية,INV_BUA_2935
801.5/32,المنزع البديع في تجنيس أساليب البديع,"السجلماسي, أبو محمد القاسم",الرباط,مكتبة المعارف,1980.0,648.0,البلاغة العربية : البديع,INV_BUA_2936
297.15/24,هداية المرتاب وغاية الحفاظ في تبيين متشابه الكتاب,"السخاوي, أبو الحسن علي بن محمد",بيروت,دار الفكر المعاصر,1994.0,192.0,القرآن: دراسات,INV_BUA_2937
92/53,الضوء اللامع لأهل القرن التاسع,"السخاوي, شمس الدين محمد بن عبد الرحمن",بيروت,مكتبة الحياة,1983.0,352.0,بيوغرافيا,INV_BUA_2938
92/54,الضوء اللامع لأهل القرن التاسع,"السخاوي, شمس الدين محمد بن عبد الرحمن",بيروت,دار مكتبة الحياة,1983.0,398.0,بيوغرافيا,INV_BUA_2939
92/55,الضوء اللامع لأهل القرن التاسع,"السخاوي, شمس الدين محمد بن عبد الرحمن",بيروت,دار مكتبة الحياة,1983.0,350.0,بيوغرافيا,INV_BUA_2940
